_type,_id,_revision,_page.next,kodas,vietovardis_pilnas_nekirciuotas,vietovardis,linksniai,vietovardzio_rusis,vietovardis_vertimas,kirciuote,adm_teritorinis_priklausymas,statusas,kitas_statusas,kiti_variantai,papildoma_informacija,susije_vietovardziai
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,e4f5c8c4-483f-4306-948f-1660c721cdef,46b62ad1-17ff-49cd-bd11-2eaa7293f069,,1602720,Juodlankiai,Júodlankiai,,ežeras,,1,"Utenos rajonas, Utenosapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,92119c7b-cd31-4356-9bd0-67a2647c1e99,4f61df5c-b8c6-4418-b175-ccaf9e1ee62d,,1602730,Juodlaukiai,Juodlaũkiai,"Juodlaũkių, Juodlaũkiams, į Juodlaukiùs, ties Juodlaũkiais, Juodlaũkiuose",kaimas,"vokiškai Jodlauken, dabar rusiškai Volodarovka",2,"Kaliningrado sritis, Černiachovsko rajonas, Rusija",neoficialusis,oficialusis - Volodãrovka,,buvusi Įsruties apskritis,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,0ee7a53a-8a19-46c4-b8d2-f0556aeef5cc,8ff4c78e-aa76-48f2-a89e-27d4ec3230dc,,1602740,Juodlaukis,Júodlaukis,,kaimas,,1,"Kelmės rajonas, Šiauliųapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,0b5798fc-da28-4c92-b31d-2dcec6052463,9ee1539e-d1c2-4a18-a9d7-cc261a3f50b7,,1602750,Juodlė,Júodlė,,kaimas,,1,"Kelmės rajonas, Šiauliųapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,53fabf34-7d8a-4bbc-8a1d-43e1c8468d9d,867ef704-372f-4f5e-a505-57d3b7e0a48f,,1602760,Juodlė,Júodlė,,ežeras,,1,"Kelmės rajonas, Šiauliųapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,c6533104-85a2-41cf-b065-edf35b3f5544,14fb078b-e6f6-44c6-8b08-b9e83e289ace,,1602770,Juodlė,Júodlė,,miškas,,1,"Kelmės rajonas, Šiauliųapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,96db031f-b36f-4f21-ad6c-e62f003d171d,717e1c56-1168-4e0f-9c17-6e5c6100e238,,1602780,Juodlieknis,Júodlieknis,,kaimas,,1,"Panevėžio rajonas, Panevėžioapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,dae1783b-88c0-4c62-a418-c737e4aeaac4,7f785235-9e42-4b1b-ba3b-0cf4b1e92090,,1602790,Juodoji,Juodóji,,pelkė,,,"Alytaus rajonas, Alytausapskritis, Lietuva",vienintelis,,,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,09999370-d37b-4662-8c39-17ec1865c143,ac8eed5e-caf3-4013-bbd0-bf4d49ae57c9,,1602800,Juodoji,Juodóji,,pelkė,,,"Šilalės rajonas, Tauragėsapskritis, Lietuva",pagrindinis,,Bókštų pélkė (durpýnas) - šalutinis,,
datasets/gov/lki/vietovardziu_zodynas/VietovardziuZodynas,2d90b8c7-2c6b-438c-9d31-e79f70d30b11,08c86e0d-f46a-49f1-9912-974fa2d0ea2d,,1602820,Juodo Kauknorio miškas,Júodo Kaũknorio mi̇̀škas,,miškas,,,"Lazdijų rajonas, Alytausapskritis, Lietuva",vienintelis,,,,
